DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1/10/2017,682.77,683.02,680.76,681.07,0
1/11/2017,680.85,687.16,680.85,687.16,0
1/12/2017,688.71,688.99,685.59,686.96,0
1/13/2017,686.58,688.62,685.06,685.06,0
1/16/2017,684.62,684.82,677.85,677.94,0
1/17/2017,678.83,684.73,678.83,684.71,0
1/18/2017,683.74,688.07,683.28,683.28,0
1/19/2017,683.02,684.19,680.8,682.31,0
1/20/2017,684.05,688.42,684.05,686.26,0
1/23/2017,687.83,689.47,686.46,687.15,0
1/24/2017,687.08,692.75,687.08,691.36,0
1/25/2017,693.07,697.28,691.19,697.28,0
2/2/2017,699.8,703.2,697.71,703.18,0
2/3/2017,704.69,708.1,700.09,700.35,0
2/6/2017,702.02,702.02,696.92,700.04,0
2/7/2017,699.99,703.3,698.99,701.91,0
2/8/2017,702.67,702.77,700.47,702.04,0
2/9/2017,700.93,702.64,700.21,700.65,0
2/10/2017,701.15,704.08,701.15,703.78,0
2/13/2017,704.61,706.47,703.58,705.9,0
2/14/2017,706.41,707.32,703.85,706.26,0
2/15/2017,706.84,711.73,706.84,711.57,0
2/16/2017,712.61,717.57,709.35,709.35,0
2/17/2017,709.52,710.21,705.84,707.83,0
2/20/2017,705.72,711.4,704.41,710.59,0
2/21/2017,711.49,718.06,711.49,716.55,0
2/22/2017,717.77,719.09,715.36,717.24,0
2/23/2017,717.49,719.58,712.36,716.87,0
2/24/2017,716.35,717.94,713.7,714.47,0
2/27/2017,711.7,718.37,711.7,717.44,0
2/28/2017,718.24,719.14,710.79,710.79,0
3/1/2017,710.7,712.49,705.79,709.52,0
3/2/2017,712.68,713.53,707.51,707.51,0
3/3/2017,708.23,712.62,705.83,712.62,0
3/6/2017,714.61,718.04,714.01,716.29,0
3/7/2017,716.46,716.95,714.27,716.54,0
3/8/2017,715.04,718.78,713.89,716.6,0
3/9/2017,715.86,718.23,714.96,715.8,0
3/10/2017,715.85,716.81,712.21,712.21,0
3/13/2017,711.93,712.63,707.63,710.17,0
3/14/2017,709.9,716.49,709.29,714.71,0
3/15/2017,715.63,716.49,713.14,713.14,139564828
3/16/2017,712.56,715.03,710.66,714.92,0
3/17/2017,715.82,717.1,710.54,710.54,0
3/20/2017,711.44,717.54,711.44,715.07,0
3/21/2017,717.03,718.8,714.78,716.18,0
3/22/2017,715.78,720.68,712.94,712.94,0
3/23/2017,712.61,719.56,712.61,719.56,0
3/24/2017,722.42,724.36,719.56,722.14,0
3/27/2017,723.23,725.57,721.41,723.52,0
3/28/2017,724.37,725,718.66,719.26,0
3/29/2017,719.08,721.92,718.37,720.47,0
3/30/2017,721.87,725.91,721.87,723.86,0
3/31/2017,725.97,726.67,722.31,722.31,0
4/3/2017,723.02,724.37,721.58,722.38,0
4/4/2017,723.7,724.67,722.79,724.14,0
4/5/2017,724.89,726.03,722.49,723.22,0
4/7/2017,721.85,727.95,720.28,727.95,0
4/10/2017,728.71,730.9,727.77,729.87,0
4/11/2017,730.15,732.24,730.15,731.33,0
4/12/2017,731.62,732.87,724.48,725.58,0
4/13/2017,725.54,727.34,723.88,724.35,0
4/14/2017,722.47,722.96,714.13,718.45,0
4/17/2017,718.93,721.78,710.83,710.83,0
4/18/2017,708.64,714.93,705.55,714.93,0
4/19/2017,714.87,716.77,714.02,716.77,0
4/20/2017,716.76,716.76,712.66,712.66,0
4/21/2017,712.77,715.08,711.08,712.41,0
4/24/2017,711.6,712.77,709.39,709.39,0
4/25/2017,709,709.81,706.04,707.58,0
4/26/2017,706.36,710.04,706.32,710.04,0
4/27/2017,711.74,716.53,711.38,716.53,0
4/28/2017,715.9,718.54,713.83,717.73,0
5/3/2017,718.7,719.54,716.66,719.54,0
5/4/2017,717.98,723.22,717.98,722.02,0
5/5/2017,720.39,721.65,719.86,720,0
5/8/2017,720.61,720.61,717.98,718.86,0
5/9/2017,717.55,722.11,716.95,722.11,0
5/10/2017,721.94,727.52,721.81,724.31,0
5/11/2017,724.84,726.82,723.39,724.99,0
5/12/2017,724.63,726.4,724.41,725.37,0
5/15/2017,725.25,726.19,723.18,725.35,240887477
5/16/2017,725.84,727.86,725.03,725.03,294207007
5/17/2017,724.01,728.01,722.81,727.2,0
5/18/2017,727.2,729,723.8,726.99,0
5/19/2017,727.61,733.82,726.79,733.82,0
5/22/2017,738.63,746.87,738.63,744.1,0
5/23/2017,744.32,746.18,740.28,740.93,0
5/24/2017,739.91,744.27,737.3,742.74,0
5/25/2017,744.24,746.48,740.89,741.91,0
5/26/2017,741.4,743.46,740.6,743.41,0
5/29/2017,746.08,748.06,745.31,746.25,252195473
5/30/2017,747.07,747.43,738.21,738.21,0
5/31/2017,738.91,741.93,735.39,737.82,0
6/1/2017,739.45,742.23,738.71,741.8,0
6/2/2017,741.48,742.11,736.09,738.81,0
6/5/2017,739.13,745.14,738.35,743.49,0
6/6/2017,743.99,751.31,743.99,751.31,0
6/7/2017,752.75,754.92,751.65,753.46,0
6/8/2017,751.7,751.96,748.91,750.13,0
6/9/2017,749.46,752.01,749.04,749.72,0
6/12/2017,751.33,753.41,749,751.09,0
6/13/2017,751.09,756.89,750.1,756.89,0
6/14/2017,758.26,761.7,756.82,760.77,0
6/15/2017,760.38,762.98,758.17,760.57,0
6/16/2017,761.75,762.43,759.98,761.24,0
6/19/2017,763.75,766.83,762.33,766.83,0
6/20/2017,767.59,768.29,764.42,767.99,0
6/21/2017,765.71,767.83,758.9,767.41,0
6/22/2017,768.41,769.99,766.3,766.3,0
6/23/2017,765.66,769.01,763.64,769.01,0
6/26/2017,770.5,773.14,769.73,772.52,0
6/27/2017,773.15,773.4,767.19,767.51,0
6/28/2017,766.82,769.04,762.78,769.04,0
6/29/2017,771.26,773.08,769.89,771.75,0
6/30/2017,773.46,776.5,773.46,776.47,166200365
7/3/2017,777.2,780.01,775.53,778.88,0
7/4/2017,779.15,779.15,772.9,775.54,0
7/5/2017,775.85,778.32,773.81,778.32,0
7/6/2017,780.5,782.77,779.99,782.65,0
7/7/2017,783.73,783.81,775.73,775.73,0
7/10/2017,775.85,775.85,764.43,766.56,0
7/11/2017,766.56,769.36,761.57,769.36,0
7/12/2017,772.6,775.08,769.83,774.17,0
7/13/2017,777.12,778.3,773.85,778.3,0
7/14/2017,779.72,780.65,776.88,777.6,0
7/17/2017,777.7,778.3,766.47,768.91,0
7/18/2017,766.88,770.37,762.68,767.49,0
7/19/2017,771.33,774.12,770.18,771.3,0
7/20/2017,768.56,768.56,763.55,768.41,0
7/21/2017,768.9,770.43,761.86,761.86,0
7/24/2017,759.97,761.64,753.82,759.74,0
7/25/2017,757.43,767.27,757.35,767.27,0
7/26/2017,769.35,773.88,764.92,773.88,0
7/27/2017,773.21,774.97,770.3,771.5,0
7/28/2017,771.21,777.09,770.82,777.09,0
8/1/2017,784.44,787.68,784.15,786.81,0
8/2/2017,783.45,788.97,779.81,786.23,0
8/3/2017,786.23,790.82,786.19,788.49,0
8/4/2017,789.46,790.12,786.09,788.68,202950213
8/7/2017,789.41,796.09,788.66,792.98,137191318
8/8/2017,795.8,796.62,789.84,791.57,213496640
8/9/2017,789.15,789.15,773.66,773.66,292795000
8/10/2017,769.58,776.77,769.58,773.43,190065850
8/11/2017,773.43,774.31,769.14,772.08,169866377
8/14/2017,770.65,776.42,770.65,776.17,0
8/15/2017,776.64,776.83,770.09,771.06,0
8/16/2017,771.1,773.57,766.8,773.57,0
8/17/2017,773.48,774.47,767.59,767.59,238285861
8/18/2017,762.82,770.79,762.46,768.97,0
8/21/2017,767.42,769.71,765.95,768.79,0
8/22/2017,768.2,768.44,760.3,761.26,0
8/23/2017,762.42,765.98,759.01,765.98,0
8/24/2017,766.48,771.65,764.64,769.77,0
8/25/2017,769.07,771.63,768.57,771.63,0
8/28/2017,771.81,777.26,770.51,777.26,0
8/29/2017,773.91,777.11,773.87,774.03,0
8/30/2017,774.31,778.65,773.85,778.65,0
8/31/2017,779.19,785.78,778.19,782.76,0
9/1/2017,784.42,789.19,784.18,788.73,0
9/5/2017,790.26,794.46,787.8,792.31,0
9/6/2017,792.16,793.82,788.89,793.55,0
9/7/2017,793.61,798.58,792.77,796.72,0
9/8/2017,797.98,802.9,797.82,801.2,0
9/11/2017,801.2,805.44,797.47,797.47,0
9/12/2017,795.53,801.01,794.88,799.94,0
9/13/2017,802.85,804.38,800.39,802.78,0
9/14/2017,803.34,807.29,803.23,806.32,0
9/15/2017,803.35,805.82,802.08,805.82,0
9/18/2017,808.51,809.39,805.37,807.87,0
9/19/2017,807.41,810.13,805.87,805.93,0
9/20/2017,806.88,807.51,803.33,805.86,0
9/21/2017,805.29,806.52,802.6,803.93,0
